timestamp,event,object,confidence
2026-09-01 20:31:55,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:31:56,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:31:57,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:31:58,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:31:59,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:00,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:01,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:02,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:03,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:04,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:05,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:06,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:07,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:08,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:09,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:10,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:11,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:12,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:13,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:14,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:15,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:32:16,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:36,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:37,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:38,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:39,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:40,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:41,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:42,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:43,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:44,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:45,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:46,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:47,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:34:53,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:06,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:07,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:08,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:09,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:10,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:11,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:12,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:13,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:14,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:15,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:16,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:17,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:18,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:19,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:20,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:21,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:22,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:23,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:24,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:25,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:26,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:27,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:28,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:29,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:30,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:31,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:32,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:33,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:34,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:35,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:36,Restricted Zone Intrusion,Person,1.00
